,video_id,title,Publish_date,likes,views
0,Ks-_Mh1QhMc,Your body language may shape who you are | Amy Cuddy,2012-10-01,317651,20575107
1,N80jTRvZbhw,19 Year Old Alphonso Davies is PHENOMENAL! 2019/20,2020-02-27,32031,1647685
2,5kAtCrFJT9w,Barcelona vs Bayern Munich 2-8 UEFA Champions League 2020 All Goals And Extended Highlights,2021-08-13,1870,169405
3,kmXPA3xyxiQ,Sharing My Time Table And Efficient Strategy To Learn Machine Learning In Quick Time,2021-06-27,1101,30418
4,CXMAXD3rDGc,Resumen de Real Madrid vs Atlético de Madrid (2-0),2021-12-12,69663,2974043
5,YuQd2m-teUc,The Messi Era - Official Movie,2021-09-25,135405,3634653
6,Fqmn_K2gRIA,The Most Perfect Revenge In Football History,2021-07-23,78268,9614596
7,F8_QrWfnGCo,Chawki - Time Of Our Lives (Official Music Video),2014-06-05,297477,36293125
8,WTJSt4wP2ME,K'NAAN - Wavin' Flag (Coca-Cola Celebration Mix),2010-03-05,4439687,334576452
9,5Yhf0wBFtvY,Brutally Honest Advice From Steve Jobs | BEST SPEECH Ever! (HQ Version),2015-01-11,40356,2386030
